Period,Store No,Store Name,NBO Actual %,Food Theoretical %,NBO Variance %,COGS Actual %,COGS Variance %
P1,1096,Tamarac,33.12,32.14,0.98,32.26,0.12
P1,1167,Pembroke Pines Pines Blvd,32.24,31.35,0.88,31.63,0.28
P1,1252,Fort Lauderdale Broward Blvd,33.58,32.8,0.78,32.68,-0.12
P1,1677,Palmetto Bay SW 160th,33.58,32.34,1.24,28.99,-3.35
P1,1726,Fort Lauderdale E. Commercial,32.73,31.95,0.77,31.97,0.02
P1,1771,Miami SW 152nd St,33.2,32.26,0.94,32.91,0.65
P1,183,Margate Atlantic,32.83,31.56,1.27,29.02,-2.54
P1,1841,Fort Lauderdale S Federal,35.77,32.34,3.43,29.12,-3.22
P1,1847,Pompano Beach,35.83,33.52,2.31,29.8,-3.72
P1,1848,Miami Kendall 107,32.69,31.67,1.03,32.09,0.42
P1,1864,Hialeah Gardens,33.85,32.06,1.79,33.32,1.26
P1,1891,Miami SW 137th Ave,32.63,31.7,0.92,32.3,0.6
P1,1954,Miami N. Kendall Dr,32.47,31.6,0.87,32.51,0.91
P1,1972,Miami 40th St,31.56,30.24,1.32,30.4,0.16
P1,2013,Palm Springs,37.36,32.87,4.38,36.03,3.16
P1,2042,Miami Flager,33.81,32.3,1.51,33.73,1.43
P1,2048,Coral Springs,35.85,32.31,3.54,28.27,-4.04
P1,205,Lauderhill Oakland Park,33.39,31.8,1.59,32.92,1.12
P1,2118,Naranja,31.53,30.75,0.78,31.33,0.58
P1,2290,Pembroke Pines N Flamingo Rd,33.1,31.73,1.37,32.8,1.07
P1,2497,Royal Palm Beach,33.85,32.14,1.7,33.78,1.64
P1,2602,Doral,33.55,31.47,2.08,35.79,4.32
P1,2627,Shoma Hialeah,33.42,32.31,1.11,32.63,0.32
P1,2696,Okeechobee Jog,36.09,34.46,1.63,36.22,1.76
P1,2766,Miami SW 40th St.,33.07,32.02,1.05,32.75,0.73
P1,2885,Lantana Rd.,36.27,33.82,2.45,35.94,2.12
P1,2890,119th Plaza,39.19,35.85,3.34,45.59,9.74
P1,2893,Winwood Ghost,35.24,33.32,1.92,33.31,-0.01
P1,2974,Delray Beach,34.59,31.86,2.73,33.89,2.03
P1,2976,Weston,32.93,31.59,1.33,32.36,0.77
P1,3013,Quail Roost Dr.,32.72,32.06,0.66,33.36,1.3
P1,3200,Jupiter,32.82,30.27,2.56,28.62,-1.65
P1,3317,Westwinds of Boca,0.0,0.0,0.0,0.0,0.0
P1,346,Miami Old Cutler,33.13,32.79,0.35,32.84,0.05
P1,4032,Airpark Plaza,32.43,31.16,1.27,32.94,1.78
P1,420,Deerfield,32.83,31.58,1.24,31.94,0.36
P1,79,Plantation W Sunrise,34.15,32.06,2.08,33.95,1.89
P1,871,Florida City,31.62,31.81,-0.2,30.24,-1.57
P1,883,Hallandale Beach,32.27,31.8,0.47,31.56,-0.24
P2,1096,Tamarac,33.38,32.21,1.17,32.0,-0.21
P2,1167,Pembroke Pines Pines Blvd,33.9,32.59,1.31,32.33,-0.26
P2,1252,Fort Lauderdale Broward Blvd,34.86,33.1,1.76,33.78,0.68
P2,1677,Palmetto Bay SW 160th,33.47,32.67,0.79,32.3,-0.37
P2,1726,Fort Lauderdale E. Commercial,33.1,32.26,0.84,32.13,-0.13
P2,1771,Miami SW 152nd St,31.74,31.25,0.5,31.02,-0.23
P2,183,Margate Atlantic,30.76,31.26,-0.5,34.93,3.67
P2,1841,Fort Lauderdale S Federal,35.78,33.47,2.31,34.26,0.79
P2,1847,Pompano Beach,35.72,33.42,2.3,34.81,1.39
P2,1848,Miami Kendall 107,32.87,31.92,0.96,31.63,-0.29
P2,1864,Hialeah Gardens,31.44,30.72,0.72,30.55,-0.17
P2,1891,Miami SW 137th Ave,32.67,32.37,0.3,32.39,0.02
P2,1954,Miami N. Kendall Dr,32.78,32.27,0.51,32.13,-0.14
P2,1972,Miami 40th St,31.53,31.02,0.52,30.79,-0.23
P2,2013,Palm Springs,36.42,33.54,2.88,35.67,2.13
P2,2042,Miami Flager,33.64,32.28,1.36,32.27,-0.01
P2,2048,Coral Springs,37.2,32.89,4.31,36.55,3.66
P2,205,Lauderhill Oakland Park,33.12,32.31,0.8,32.34,0.03
P2,2118,Naranja,31.98,31.39,0.59,31.05,-0.34
P2,2290,Pembroke Pines N Flamingo Rd,32.63,32.74,-0.11,31.11,-1.63
P2,2497,Royal Palm Beach,34.64,32.46,2.18,34.32,1.86
P2,2602,Doral,34.73,32.31,2.42,34.93,2.62
P2,2627,Shoma Hialeah,34.9,33.16,1.73,34.04,0.88
P2,2696,Okeechobee Jog,40.36,35.05,5.41,39.92,4.87
P2,2766,Miami SW 40th St.,33.46,32.78,0.68,32.72,-0.06
P2,2885,Lantana Rd.,35.21,33.39,1.82,34.11,0.72
P2,2890,119th Plaza,36.33,34.71,1.61,37.2,2.49
P2,2893,Winwood Ghost,37.11,34.55,2.56,36.17,1.62
P2,2974,Delray Beach,33.69,32.25,1.45,32.63,0.38
P2,2976,Weston,32.52,31.66,0.86,32.1,0.44
P2,3013,Quail Roost Dr.,33.1,33.35,-0.25,32.46,-0.89
P2,3200,Jupiter,35.19,32.29,2.9,34.82,2.53
P2,3317,Westwinds of Boca,0.0,0.0,0.0,0.0,0.0
P2,346,Miami Old Cutler,32.8,32.68,0.12,32.15,-0.53
P2,4032,Airpark Plaza,32.81,31.81,1.0,32.66,0.85
P2,420,Deerfield,33.93,32.64,1.29,32.94,0.3
P2,79,Plantation W Sunrise,34.2,32.68,1.52,33.66,0.98
P2,871,Florida City,31.67,31.85,-0.18,31.2,-0.65
P2,883,Hallandale Beach,32.71,32.03,0.68,31.6,-0.43
P3,1096,Tamarac,32.95,31.65,1.29,30.41,-1.24
P3,1167,Pembroke Pines Pines Blvd,32.52,31.58,0.93,28.68,-2.9
P3,1252,Fort Lauderdale Broward Blvd,32.02,31.71,0.31,28.48,-3.23
P3,1677,Palmetto Bay SW 160th,33.12,32.45,0.68,31.09,-1.36
P3,1726,Fort Lauderdale E. Commercial,32.09,31.79,0.3,29.38,-2.41
P3,1771,Miami SW 152nd St,32.14,31.57,0.58,29.7,-1.87
P3,183,Margate Atlantic,32.94,31.02,1.92,29.69,-1.33
P3,1841,Fort Lauderdale S Federal,34.29,32.57,1.71,31.34,-1.23
P3,1847,Pompano Beach,34.94,32.79,2.16,31.85,-0.94
P3,1848,Miami Kendall 107,31.88,31.27,0.6,28.6,-2.67
P3,1864,Hialeah Gardens,32.4,31.87,0.53,28.98,-2.89
P3,1891,Miami SW 137th Ave,31.71,31.36,0.35,28.93,-2.43
P3,1954,Miami N. Kendall Dr,31.63,31.6,0.02,28.89,-2.71
P3,1972,Miami 40th St,31.19,30.46,0.73,27.92,-2.54
P3,2013,Palm Springs,34.84,32.1,2.74,31.48,-0.62
P3,2042,Miami Flager,32.64,31.9,0.74,29.28,-2.62
P3,2048,Coral Springs,34.21,31.56,2.64,30.91,-0.65
P3,205,Lauderhill Oakland Park,32.33,31.53,0.8,29.94,-1.59
P3,2118,Naranja,31.4,31.26,0.14,28.88,-2.38
