STORE FULL NAME,SSS,SOS (Lunch),SOS (Snack),SOS (Dinner),SOS (Late),SOS (Overall),AQT Variance,Bone in Guide Accuracy (Overall),Adoption of Cooks,Make Ahead Rate,Orders,Pre Bump Rate,Percent Orders between 7-10 Mins,Waste,data_date
1096-FL-Tamarac-N. University Drive,0.133269048008605,19:36,18:40,34:46,20:20,25:49,22:41,0.731528733081873,0.906040268456376,0,411,0,0.0340632603406326,,2026-05-22
1167-FL-Pembroke Pines-Pines Blvd,-0.272753715348925,26:24,24:45,33:03,18:58,27:16,26:43,0.962464300285598,0.966292134831461,0.0837823275862069,244,0,0.040983606557377,0.0584590517241379,2026-05-22
1252-FL-Fort Lauderdale-W. Broward Blvd.,-0.0029243703735334,08:47,08:11,10:52,08:36,09:14,11:29,0.858690176322418,0.995708154506438,0,432,0.00231481481481481,0.24537037037037,,2026-05-22
1677-FL-Palmetto Bay- SW 160th St.,-0.178597789117455,07:22,08:40,07:35,12:19,09:19,09:59,1.13656387665198,0.966942148760331,0.0102040816326531,184,0.00543478260869565,0.369565217391304,0.0170068027210884,2026-05-22
1726-FL-Fort Lauderdale-E. Commercial Blvd,-0.11342724197621,07:11,08:44,16:07,11:07,12:13,11:52,0.738338516215016,0.986254295532646,0.0668916845658177,224,0,0.111607142857143,,2026-05-22
1771-FL-Miami-SW 152nd St,-0.243512205999527,09:56,08:07,08:02,09:50,08:49,09:26,0.784873949579832,0.996587030716723,0.0456580125335721,229,0,0.22707423580786,,2026-05-22
183-FL-Margate-Atlantic,0.064253567850006,08:55,08:32,19:50,13:29,14:42,13:37,0.785910338517841,1,0.00407030527289547,398,0.0150753768844221,0.14070351758794,,2026-05-22
1841-FL-Ft Lauderdale-S Federal Hwy,-0.134921215551215,09:19,10:34,08:05,08:43,08:50,09:29,0.881487535758071,1,0.016087331226659,264,0.00378787878787879,0.284090909090909,,2026-05-22
1847-FL-Pompano Beach-N. Federal Hwy,0.0243917545509316,09:13,08:23,15:22,17:26,14:10,13:16,0.904355251921435,0.954545454545455,0.0119699042407661,271,0.00738007380073801,0.239852398523985,0.00718194254445964,2026-05-22
1848-FL-Miami-SW 107th Ave,-0.145321555732267,08:07,08:22,08:38,10:47,09:23,10:01,1.05440900562852,1,0,126,0,0.373015873015873,0.144101876675603,2026-05-22
1864-FL-Hialeah Gardens-W 33rd Ave,-0.164568881069951,09:41,08:32,08:41,09:26,09:02,10:07,1.16078431372549,0.992,0.0830073880921339,182,0,0.368131868131868,0.036071273359409,2026-05-22
1891-FL-Miami-SW 137th Ave,-0.124243187869093,09:55,12:19,11:03,10:14,11:02,10:57,0.818657367044464,0.99618320610687,0.0698045472676506,165,0.00606060606060606,0.254545454545455,0.0279218189070602,2026-05-22
1954-FL-Miami-N Kendall Dr,-0.0549149946851628,08:50,08:41,09:36,09:23,09:13,10:50,0.892976588628763,0.996240601503759,0.0810697868783953,197,0,0.3248730964467,0.0100292519849561,2026-05-22
