Period,Start Date,End Date,District,Store No,Store Name,Sales Forecast,Hours Guide
P5W2,5/3/2026,5/9/2026,District 1,346,Miami Old Cutler Road,27886,370
P5W2,5/3/2026,5/9/2026,District 1,871,Florida City,45483,516
P5W2,5/3/2026,5/9/2026,District 1,1677,Palmetto Bay SW 160th,25576,353
P5W2,5/3/2026,5/9/2026,District 1,1771,Miami SW 152nd St,29404,380
P5W2,5/3/2026,5/9/2026,District 1,2118,Naranja,50908,556
P5W2,5/3/2026,5/9/2026,District 1,3013,Quail Roost Dr,23308,335
P5W2,5/3/2026,5/9/2026,District 2,1848,Miami Kendall Dr SW 107 Ave,19615,307
P5W2,5/3/2026,5/9/2026,District 2,1891,Miami SW 137th Ave,29234,380
P5W2,5/3/2026,5/9/2026,District 2,1972,Miami 40th St,46976,528
P5W2,5/3/2026,5/9/2026,District 2,2627,Hialeah Drive,29806,390
P5W2,5/3/2026,5/9/2026,District 2,2766,Miami SW 40th Street,20291,317
P5W2,5/3/2026,5/9/2026,District 2,4032,Airpark Plaza,30917,398
P5W2,5/3/2026,5/9/2026,District 3,1864,Hialeah Gardens,31354,402
P5W2,5/3/2026,5/9/2026,District 3,1954,Miami N. Kendall Dr SW 147 Ave,35076,433
P5W2,5/3/2026,5/9/2026,District 3,2042,Miami Flagler,32020,410
P5W2,5/3/2026,5/9/2026,District 3,2602,Doral,21637,323
P5W2,5/3/2026,5/9/2026,District 3,2890,North Miami NW 119 Street,36236,440
P5W2,5/3/2026,5/9/2026,District 3,2893,Wynwood,33232,417
P5W2,5/3/2026,5/9/2026,District 4,205,Lauderhill Oakland Park,53756,581
P5W2,5/3/2026,5/9/2026,District 4,420,Deerfield,30146,394
P5W2,5/3/2026,5/9/2026,District 4,883,Hallandale Beach,42207,493
P5W2,5/3/2026,5/9/2026,District 4,1252,Fort Lauderdale Broward Blvd,46960,528
P5W2,5/3/2026,5/9/2026,District 4,1726,Fort Lauderdale E. Commercial,30332,394
P5W2,5/3/2026,5/9/2026,District 4,1841,Fort Lauderdale S Federal,38252,456
P5W2,5/3/2026,5/9/2026,District 4,1847,Pompano Beach,35017,433
P5W2,5/3/2026,5/9/2026,District 5,79,Plantation W Sunrise,47843,535
P5W2,5/3/2026,5/9/2026,District 5,183,Margate Atlantic,43653,505
P5W2,5/3/2026,5/9/2026,District 5,1096,Tamarac,42979,498
P5W2,5/3/2026,5/9/2026,District 5,1167,Pembroke Pines Pines Blvd,38431,456
P5W2,5/3/2026,5/9/2026,District 5,2048,Coral Springs,38807,459
P5W2,5/3/2026,5/9/2026,District 5,2290,Flamingo Pines,25281,351
P5W2,5/3/2026,5/9/2026,District 5,2976,Weston,24565,347
