Store No,Store Name,Survey Count,Dissatisfaction %,Inaccurate Order %,Greeted with Smile %
79,Plantation,470,0.85,0.64,97.44
183,Margate-Atlantic,491,2.04,2.04,97.17
205,Lauderhill-Oakland Park,111,2.7,5.41,87.88
346,Miami-Old Cutler Rd,137,2.92,2.19,95.04
420,Deerfield Beach,154,4.55,2.6,93.18
871,Florida City-Dixie Hwy,106,9.43,9.43,86.67
883,Hallandale Beach-W Hallandale Beach Blvd,216,8.33,4.17,90.0
1096,Tamarac-N. University Drive,177,4.52,2.82,88.13
1167,Pembroke Pines-Pines Blvd,205,6.83,3.41,90.4
1252,Fort Lauderdale-W. Broward Blvd.,227,6.61,2.2,90.4
1677,Palmetto Bay- SW 160th St.,77,1.3,1.3,91.04
1726,Fort Lauderdale-E. Commercial Blvd,168,4.17,2.38,94.08
1771,Miami-SW 152nd St,158,1.27,1.27,95.8
1841,Ft Lauderdale-S Federal Hwy,101,4.95,0.0,98.91
1847,Pompano Beach-N. Federal Hwy,128,10.16,7.03,88.89
1848,Miami-SW 107th Ave,111,2.7,2.7,94.62
1864,Hialeah Gardens-W 33rd Ave,85,5.88,3.53,89.33
1891,Miami-SW 137th Ave,137,2.19,0.73,95.94
1954,Miami-N Kendall Dr,230,2.17,1.31,98.53
1972,Miami-Bird Road,95,3.16,2.11,96.25
2013,Palm Springs-S Congress Ave,46,2.17,0.0,86.05
2042,Miami-W Flagler St,93,1.08,2.15,98.73
2048,Coral Springs-Wiles Rd,116,5.17,3.45,90.2
2118,Naranja-S. Dixie Hwy,163,3.07,3.07,94.44
2290,Pembroke Pines-N. Flamingo Rd,134,5.97,2.24,92.68
2497,Royal Palm Beach,185,3.78,2.7,95.78
2602,Doral-NW 58th St.,67,1.49,0.0,95.08
2627,Hialeah-Hialeah Dr.,86,5.81,4.65,97.26
2696,West Palm Beach-Okeechobee Blvd,98,4.08,4.08,91.86
2766,Miami-SW 40th St.,121,0.83,0.83,98.23
2885,Lantana-W. Lantana Rd,44,0.0,2.27,100.0
2890,Miami-NW 199th St.,204,4.9,4.9,90.23
2893,Miami-NE Miami Ct. - GK,26,50.0,30.77,80.0
2974,Delray Beach-Linton Blvd,149,8.05,7.38,92.25
2976,Weston-Indian Trace,63,7.94,9.52,96.3
3013,Miami-Quail Roost Dr,74,2.7,0.0,96.92
3200,Jupiter-E Indiantown Rd,347,2.31,2.02,97.55
3210,Miami-SW 8th Street,24,8.33,4.17,95.45
3317,Boca Raton-Glades Road,121,8.26,7.44,91.59
4032,Miami-NW 7th St.,125,4.0,3.2,96.46
